system,topic_id,status,candidate_chars,reference_chars,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
cogwriter_adapter,fw24_008,ok,1208,18338,0.028455284552845527,0.006109979633401223,0.01829268292682927,0.7855082750320435,0.7922857999801636,0.7888824939727783
longwriter_gguf_ollama,fw24_008,failed_invalid_output,0,18338,0.0,0.0,0.0,,,
arise_adapter,fw24_008,ok,1252,18338,0.03073967339097022,0.0038498556304138597,0.02113352545629203,0.7742792367935181,0.7907109260559082,0.7824088335037231
flowernet_full,fw24_008,ok,4617,18338,0.05648720211827009,0.0010126582278481013,0.031774051191526924,0.7784785628318787,0.7868789434432983,0.7826562523841858
flowernet_wo_bandit,fw24_008,ok,4738,18338,0.0516473731077471,0.001784121320249777,0.033837934105075684,0.7891072034835815,0.7961301207542419,0.7926031351089478
flowernet_wo_nli,fw24_008,ok,4838,18338,0.06468085106382977,0.0068201193520886615,0.04255319148936171,0.7839511632919312,0.79291832447052,0.7884092926979065
flowernet_wo_multidim,fw24_008,ok,4591,18338,0.039399624765478425,0.0018796992481203009,0.031894934333958715,0.7805901169776917,0.7884190082550049,0.7844850420951843
vanilla_llm,fw24_009,ok,1205,36004,0.00951877313590693,0.0011792452830188679,0.005288207297726071,0.7918596267700195,0.8035351634025574,0.7976546287536621
self_refine,fw24_009,ok,1176,36004,0.011585044760400212,0.001098297638660077,0.00737230121116377,0.7897013425827026,0.8030456304550171,0.7963176369667053
cogwriter_adapter,fw24_009,ok,1191,36004,0.015756302521008403,0.0011702750146284377,0.009453781512605041,0.7883865237236023,0.8036249876022339,0.7959328293800354
longwriter_gguf_ollama,fw24_009,failed_invalid_output,0,36004,0.0,0.0,0.0,,,
arise_adapter,fw24_009,ok,1295,36004,0.015560165975103735,0.0011540680900173112,0.010373443983402491,0.7853333950042725,0.8057452440261841,0.7954083681106567
flowernet_full,fw24_009,ok,4487,36004,0.026036644165863067,0.00106439595529537,0.013500482160077147,0.7831578254699707,0.8003628253936768,0.7916668653488159
flowernet_wo_bandit,fw24_009,ok,4621,36004,0.025012025012025017,0.0,0.017316017316017316,0.7855303287506104,0.8015680909156799,0.793468177318573
flowernet_wo_nli,fw24_009,ok,4876,36004,0.026987951807228915,0.0010638297872340426,0.0163855421686747,0.785737156867981,0.8014587163925171,0.7935200929641724
flowernet_wo_multidim,fw24_009,ok,4754,36004,0.02122527737578389,0.002129925452609159,0.01254220935841775,0.7910566926002502,0.8041992783546448,0.7975738644599915
vanilla_llm,fw24_010,ok,1172,36004,0.028927680798004986,0.006989515726410384,0.02194513715710723,0.78050297498703,0.7942901253700256,0.7873362302780151
self_refine,fw24_010,ok,1186,36004,0.015166835187057632,0.0020242914979757085,0.010111223458038424,0.7809844613075256,0.7899084687232971,0.7854210734367371
cogwriter_adapter,fw24_010,ok,1204,36004,0.026052104208416832,0.007021063189568706,0.018036072144288578,0.7806321382522583,0.7963194847106934,0.7883977890014648
longwriter_gguf_ollama,fw24_010,failed_invalid_output,0,36004,0.0,0.0,0.0,,,
